colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
1.0	0	0.01	8	3	200	0.5	0.47628205128205126	0.4541845714671801	0.4551751679692856	0.4431932871600998	0.6538294456865507
0.5	0	0.01	6	1	1000	0.5	0.4607051282051282	0.45794892299536266	0.44656474244709543	0.44299518116827724	0.6304841484508619
1.0	0	0.2	4	3	1000	1.0	0.45801282051282055	0.4530001398383751	0.44575517619635263	0.44285695674092207	0.6137078445559518
1.0	0	0.2	8	1	200	0.5	0.4607692307692307	0.4538897129415706	0.44654965949083597	0.44245248020211436	0.6207959087108106
1.0	0	0.2	6	3	200	0.5	0.45807692307692305	0.45277405099773527	0.4474649207002148	0.4421090849824293	0.6193803964079724
0.5	0	0.2	4	1	200	0.5	0.4503846153846154	0.4541423727917536	0.4435602061337356	0.44167842413623826	0.6019643774208506
1.0	0	0.2	6	1	1000	0.5	0.45814102564102566	0.4554316240461751	0.4465169797522739	0.4416370866152377	0.6235714654233233
0.5	0	0.01	6	1	200	0.5	0.4735897435897436	0.4516166643340556	0.45233894373600253	0.44133663330352196	0.6515102097064096
1.0	0	0.01	4	1	200	0.5	0.4684615384615385	0.4555704013509909	0.45012614836144255	0.4411995318844425	0.6438630601822214
1.0	0	0.01	8	1	1000	0.5	0.4606410256410257	0.45722356075297255	0.44690839389368797	0.44092990772334384	0.624029340866243
0.5	0	0.01	6	1	600	0.5	0.4657051282051282	0.4588294113294114	0.44600575894693534	0.4407459271039154	0.6369391037219199
0.5	0	0.01	8	1	200	1.0	0.4633333333333334	0.45026080129021306	0.44683634992458526	0.4405890762760528	0.6187130317610985
1.0	0	0.01	4	3	200	1.0	0.4685897435897436	0.45203626043843437	0.45017568216097625	0.4405758684701963	0.6235822273528788
1.0	0	0.2	6	1	200	0.5	0.45814102564102566	0.44783277395119503	0.442285696329814	0.4403653620950685	0.6109924580619785
0.5	0	0.2	8	1	600	0.5	0.4606410256410257	0.45159783707266543	0.44713938022761557	0.4402580521252747	0.6184540429563026
1.0	0	0.2	6	3	1000	0.5	0.46320512820512827	0.44702592115063505	0.4481947872389049	0.4398973975162046	0.626589182398984
0.5	0	0.01	6	3	200	0.5	0.47608974358974354	0.4510562390825549	0.45375662735956857	0.4394498043028851	0.6594594629367232
1.0	0	0.2	8	3	200	0.5	0.45301282051282055	0.44901000474849584	0.44281748480277894	0.43939747315929656	0.6175342444905345
0.5	0	0.01	8	1	200	0.5	0.468525641025641	0.449328441284963	0.44750925545043196	0.4391073127524588	0.6489450611831041
0.5	0	0.2	6	1	1000	0.5	0.45820512820512815	0.4451398025778831	0.4469678116001646	0.43886278871168083	0.6168104090888447
1.0	0	0.01	8	1	200	0.5	0.4610256410256411	0.44870026511330857	0.44494566707801997	0.4388415501005015	0.6394307578432155
1.0	0	0.2	4	3	600	1.0	0.45288461538461544	0.44766722685066335	0.4420472827825769	0.43833072257649863	0.6077228459262696
0.5	0	0.2	4	3	1000	0.5	0.45807692307692305	0.4497961481243215	0.4432514625896979	0.4379665214169252	0.6160708823053584
0.5	0	0.01	4	3	200	1.0	0.4659615384615384	0.45259206775511124	0.44517693907399797	0.4379625668937823	0.6255593163778974
1.0	0	0.2	6	1	600	0.5	0.4555769230769231	0.4478504670996931	0.4430222473604826	0.4379259977702157	0.6172340511954821
0.5	0	0.2	6	1	600	0.5	0.4556410256410256	0.4437938028030907	0.44527589240824533	0.4378433297105505	0.6141176757780551
1.0	0	0.01	4	1	600	0.5	0.4607692307692308	0.44991720556904297	0.44370926459161747	0.4378340061620449	0.6299352873763114
1.0	0	0.01	6	1	1000	0.5	0.45801282051282055	0.45341594448237343	0.4428806161159102	0.4377299898567461	0.6217410083584668
1.0	0	0.2	8	3	1000	1.0	0.455448717948718	0.44252083485829613	0.4414776155217332	0.43730453050226287	0.6151174879646928
1.0	0	0.01	6	3	200	0.5	0.4685897435897436	0.4485569160054285	0.44917026600850135	0.43716870756191073	0.6499500411024381
0.5	0	0.2	6	1	600	1.0	0.45532051282051283	0.4487097461362167	0.44159645093468625	0.43673798282516546	0.6051124759520212
0.5	0	0.2	8	1	200	0.5	0.45801282051282055	0.45083563535794663	0.44268133826957357	0.43645731655303377	0.6197457310315229
0.5	0	0.2	6	3	600	1.0	0.4503205128205129	0.4433710573339057	0.4407720302573243	0.43642728872658587	0.6178752657347457
1.0	0	0.2	8	3	600	1.0	0.45288461538461544	0.4434514052625508	0.4389612756524522	0.43623363836189705	0.6130113253368442
0.5	0	0.2	4	3	600	1.0	0.44782051282051283	0.44576672238436943	0.4383393893688011	0.4360477669640261	0.6108811939559378
1.0	0	0.01	4	3	200	0.5	0.47108974358974354	0.4418446368446369	0.4516495269436446	0.43559378958514106	0.6515012170383458
1.0	0	0.01	8	3	600	1.0	0.45301282051282055	0.4467541582695035	0.4396314959550254	0.43478155867354407	0.6072385747480957
0.5	0	0.2	4	3	1000	1.0	0.45038461538461527	0.44274857767504827	0.43930269893505186	0.4347050489385631	0.6133114673164105
