max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
10	log2	10	10	600	0.48910256410256403	0.48064888571467523	0.48724061885826586	0.46524375554575315	0.686133990433626
6	sqrt	2	8	600	0.4889102564102564	0.47680392577838404	0.4859591960327254	0.46503467021321016	0.6701371484492273
12	sqrt	8	8	200	0.4839743589743589	0.4778110560463502	0.48205219616984324	0.4649297655692165	0.6844332182702487
12	sqrt	8	4	200	0.4839743589743589	0.4778110560463502	0.48205219616984324	0.4649297655692165	0.6844332182702487
12	sqrt	8	10	200	0.4839743589743589	0.4778110560463502	0.48205219616984324	0.4649297655692165	0.6844332182702487
12	sqrt	8	2	200	0.4839743589743589	0.4778110560463502	0.48205219616984324	0.4649297655692165	0.6844332182702487
6	log2	8	8	200	0.4838461538461538	0.4687038974384176	0.48363842040312627	0.4648113056829324	0.67809824113108
6	log2	8	2	200	0.4838461538461538	0.4687038974384176	0.48363842040312627	0.4648113056829324	0.67809824113108
6	log2	8	4	200	0.4838461538461538	0.4687038974384176	0.48363842040312627	0.4648113056829324	0.67809824113108
6	log2	8	10	200	0.4838461538461538	0.4687038974384176	0.48363842040312627	0.4648113056829324	0.67809824113108
10	log2	4	4	1000	0.48903846153846153	0.47051833543706606	0.4836785273549979	0.4646524582790293	0.6748121700646155
10	log2	4	8	1000	0.48903846153846153	0.47051833543706606	0.4836785273549979	0.4646524582790293	0.6748121700646155
10	log2	4	2	1000	0.48903846153846153	0.47051833543706606	0.4836785273549979	0.4646524582790293	0.6748121700646155
12	log2	2	10	1000	0.4865384615384615	0.47079595227041054	0.4812874788610083	0.464552000896176	0.66289778655021
8	sqrt	4	2	600	0.4865384615384615	0.4757521742390162	0.4806959870195164	0.4644391930413508	0.6769320697560726
8	sqrt	4	8	600	0.4865384615384615	0.4757521742390162	0.4806959870195164	0.4644391930413508	0.6769320697560726
8	sqrt	4	4	600	0.4865384615384615	0.4757521742390162	0.4806959870195164	0.4644391930413508	0.6769320697560726
8	log2	2	10	1000	0.48910256410256403	0.46867254735288794	0.4849121874857169	0.4644236469579813	0.6618554015442873
10	sqrt	8	4	200	0.4839743589743589	0.47657892116483447	0.48226587138351845	0.4643942112262073	0.6840699080973834
10	sqrt	8	8	200	0.4839743589743589	0.47657892116483447	0.48226587138351845	0.4643942112262073	0.6840699080973834
10	sqrt	8	2	200	0.4839743589743589	0.47657892116483447	0.48226587138351845	0.4643942112262073	0.6840699080973834
10	sqrt	8	10	200	0.4839743589743589	0.47657892116483447	0.48226587138351845	0.4643942112262073	0.6840699080973834
8	log2	2	10	600	0.486474358974359	0.47018646099915457	0.4821433223639106	0.46433656615252994	0.6620053918893384
8	log2	2	8	1000	0.4865384615384615	0.4721692022001619	0.482821426939074	0.4640497928502131	0.6629451938021361
6	sqrt	4	10	600	0.486474358974359	0.47612048884494707	0.48537096073860775	0.46401821306928837	0.6767995265429373
10	sqrt	8	2	600	0.48141025641025637	0.4797517423523616	0.48215840532016996	0.4637765603939766	0.6869732346819661
10	sqrt	8	8	600	0.48141025641025637	0.4797517423523616	0.48215840532016996	0.4637765603939766	0.6869732346819661
10	sqrt	8	4	600	0.48141025641025637	0.4797517423523616	0.48215840532016996	0.4637765603939766	0.6869732346819661
10	sqrt	8	10	600	0.48141025641025637	0.4797517423523616	0.48215840532016996	0.4637765603939766	0.6869732346819661
6	sqrt	2	4	200	0.4863461538461539	0.4703806816964711	0.48170088898030067	0.4634010436900889	0.6704032173337463
6	sqrt	2	2	200	0.4863461538461539	0.4703806816964711	0.48170088898030067	0.4634010436900889	0.6704032173337463
8	log2	2	4	600	0.4863461538461539	0.468875685717791	0.4819314182549476	0.4633645938803929	0.6567228982082264
8	log2	2	2	600	0.4863461538461539	0.468875685717791	0.4819314182549476	0.4633645938803929	0.6567228982082264
