colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
1.0	0	0.2	8	1	1000	0.5	0.4478846153846153	0.4313938332049787	0.4314954408336762	0.42662404821174815	0.6165367241516602
0.5	0	0.01	4	1	200	0.5	0.4610256410256411	0.43329752132922145	0.4392091160473514	0.4263402337005674	0.6603150705094577
1.0	0	0.01	4	1	200	1.0	0.4505769230769231	0.4337408313221006	0.435338566662096	0.42578476184704994	0.6000836563630816
0.5	0	0.01	6	3	600	1.0	0.4505128205128205	0.4387947644853016	0.4317063736916678	0.4253521882127796	0.6205664427163821
1.0	0	0.2	4	3	600	0.5	0.44794871794871793	0.4297993454101275	0.4321549202431556	0.4245112795633553	0.6277029346315849
1.0	0	0.2	6	1	600	0.5	0.44544871794871793	0.42848193745252566	0.43018133826957355	0.4244889158078727	0.6209673282045288
1.0	0	0.2	6	3	1000	0.5	0.44532051282051277	0.42594050929577243	0.43221336669866084	0.4243214767377975	0.6331968314837815
0.5	0	0.01	8	1	200	0.5	0.4506410256410257	0.4381372823942484	0.4295987590840532	0.4238226456979851	0.6542538699862885
1.0	0	0.01	8	1	1000	0.5	0.44544871794871793	0.4326260979589153	0.4287822798116916	0.42360176910742486	0.6329613859352996
1.0	0	0.01	4	1	600	0.5	0.44551282051282054	0.4313158222639647	0.42820472827825773	0.4232186367034738	0.6436716221074872
0.5	0	0.01	6	1	200	0.5	0.45070512820512826	0.43356249257565055	0.42932989396224686	0.42313099836527357	0.6595542307815639
1.0	0	0.01	8	3	200	1.0	0.45064102564102565	0.4311302346678911	0.4307851707116413	0.42291127716337124	0.6189348484364475
1.0	0	0.2	4	1	200	0.5	0.4403205128205129	0.42956645636212204	0.42761597879244934	0.4226049295568923	0.6190515659209197
1.0	0	0.2	6	1	200	0.5	0.44038461538461543	0.42735578691461046	0.42686308789249966	0.4221380690866985	0.6188931950106141
0.5	0	0.01	4	3	600	1.0	0.4556410256410256	0.4321976702634597	0.43224833173362576	0.42210810113556435	0.6159634386866151
1.0	0	0.01	6	3	200	1.0	0.45064102564102565	0.4280987662721409	0.4307851707116413	0.4212899525720123	0.6221114377414914
1.0	0	0.01	4	1	200	0.5	0.4532692307692308	0.4274881302982326	0.4343601741395859	0.4205991987520236	0.6561887689171746
1.0	0	0.01	8	1	600	0.5	0.4429487179487179	0.42949022468759307	0.4260882010146716	0.42015309055823485	0.6352170173581639
1.0	0	0.01	6	1	600	0.5	0.4428846153846154	0.4275375696428328	0.4256940445175739	0.4193286885134711	0.6368435009560959
0.5	0	0.01	8	3	600	1.0	0.4428205128205128	0.43230219900498545	0.4238870035193564	0.41815602422410203	0.6214956081322577
1.0	0	0.2	8	3	1000	0.5	0.4427564102564102	0.4218089263677499	0.4272460464372229	0.4179691678709723	0.6347141238860583
1.0	0	0.01	8	3	1000	1.0	0.43782051282051276	0.4269194823064792	0.4231524521230403	0.41757724371078686	0.611945013060365
0.5	0	0.01	4	1	200	1.0	0.45826923076923076	0.4233462076428829	0.4309354860825449	0.4167748422007856	0.6216358555037688
1.0	0	0.01	6	3	600	1.0	0.4430128205128205	0.4266295843246308	0.42521327528680464	0.4165437336279528	0.6150710961930813
1.0	0	0.2	8	1	200	0.5	0.4352564102564102	0.4183931077236031	0.42314628182275243	0.4156822018487508	0.6148691003490291
1.0	0	0.2	8	3	1000	1.0	0.43769230769230766	0.41503898563883085	0.4235522647287353	0.4156560099247935	0.6163921438622812
0.5	0	0.01	6	3	200	1.0	0.45064102564102565	0.4237936437201143	0.42638974587504	0.41556103502365893	0.6353072780851114
1.0	0	0.01	8	3	600	1.0	0.43782051282051276	0.4228775279338949	0.42267168289227114	0.4149646926904409	0.6167943308589134
1.0	0	0.2	6	3	1000	1.0	0.4351923076923076	0.41590745540435936	0.4196970268293797	0.41379061488379154	0.6104038772765155
0.5	0	0.01	8	3	200	1.0	0.44551282051282054	0.4220747405615827	0.4226144933497875	0.41330561379951336	0.6390889670893399
0.5	0	0.01	4	3	1000	1.0	0.43782051282051276	0.421524739880003	0.41888848896201836	0.41304717120992196	0.6094385063740083
